Minute,Fraction
904,0.239318
905,0.239318
906,0.239318
907,0.239318
908,0.239318
909,0.239318
910,0.239318
911,0.239318
912,0.239318
913,0.239318
1021,0.527784
1022,0.527784
1023,0.527784
1024,0.527784
1025,0.527784
1026,0.527784
1505,0.491255
1506,0.491255
1507,0.491255
1508,0.491255
1509,0.491255
1510,0.491255
1511,0.491255
1512,0.491255
1513,0.491255
1514,0.491255
1515,0.491255
1516,0.491255
1517,0.491255
1518,0.491255
1519,0.491255
1535,0.397388
1536,0.397388
1537,0.397388
1538,0.397388
1539,0.397388
1771,0.505867
1772,0.505867
1773,0.505867
1774,0.505867
1775,0.505867
1776,0.505867
1777,0.505867
1802,0.431038
1803,0.431038
1804,0.431038
1805,0.431038
1806,0.431038
1807,0.431038
3568,0.584459
3569,0.584459
3570,0.584459
3571,0.584459
3572,0.584459
5598,0.448971
5599,0.448971
5600,0.448971
5601,0.448971
5602,0.448971
5603,0.448971
5604,0.448971
5605,0.448971
5606,0.448971
5607,0.448971
5608,0.448971
6537,0.585344
6538,0.585344
6539,0.585344
6540,0.585344
6567,0.429489
6568,0.429489
6569,0.429489
6570,0.429489
6571,0.429489
6572,0.429489
7858,0.351118
7859,0.351118
7860,0.351118
7861,0.351118
7862,0.351118
7863,0.351118
7864,0.351118
7865,0.351118
8344,0.663936
8345,0.663936
8346,0.663936
8347,0.663936
8348,0.663936
9250,0.449856
9251,0.449856
9252,0.449856
9253,0.449856
9254,0.449856
9255,0.449856
9306,0.477308
9307,0.477308
9308,0.477308
9309,0.477308
9310,0.477308
9311,0.477308
9312,0.477308
9850,0.551694
9851,0.551694
9852,0.551694
9853,0.551694
9854,0.551694
9855,0.551694
9856,0.551694
9857,0.551694
9858,0.551694
9880,0.426168
9881,0.426168
9882,0.426168
9883,0.426168
9884,0.426168
9885,0.426168
9911,0.562099
9912,0.562099
9913,0.562099
9914,0.562099
9915,0.562099
9916,0.562099
9917,0.562099
9918,0.562099
9919,0.562099
10485,0.473544
10486,0.473544
10487,0.473544
10488,0.473544
11942,0.425504
11943,0.425504
11944,0.425504
11945,0.425504
11946,0.425504
11947,0.425504
11948,0.425504
11949,0.425504
11950,0.425504
11951,0.425504
11952,0.425504
11953,0.425504
11954,0.425504
11955,0.425504
11956,0.425504
11957,0.425504
11958,0.425504
11959,0.425504
11960,0.425504
11961,0.425504
12202,0.397166
12203,0.397166
12204,0.397166
12205,0.397166
12206,0.397166
12207,0.397166
12208,0.397166
12209,0.397166
12210,0.397166
12211,0.397166
12212,0.397166
12898,0.653088
12899,0.653088
12900,0.653088
12901,0.653088
12902,0.653088
12903,0.653088
12904,0.653088
12905,0.653088
14768,0.893071
14769,0.893071
14770,0.893071
14771,0.893071
14772,0.893071
14773,0.893071
14774,0.893071
14775,0.893071
14832,0.513394
14833,0.513394
14834,0.513394
14835,0.513394
14836,0.513394
14837,0.513394
14838,0.513394
14839,0.513394
14840,0.513394
14841,0.513394
14842,0.513394
14843,0.513394
14844,0.513394
14845,0.513394
14846,0.513394
14847,0.513394
14848,0.513394
14849,0.513394
14850,0.513394
14851,0.513394
16235,0.45052
16236,0.45052
16237,0.45052
16238,0.45052
16239,0.45052
16240,0.45052
16241,0.45052
23123,0.710649
23124,0.710649
23125,0.710649
23126,0.710649
23127,0.710649
23128,0.710649
23129,0.710649
23130,0.710649
23131,0.710649
23693,0.455612
23694,0.455612
23695,0.455612
23696,0.455612
23697,0.455612
23698,0.455612
23699,0.455612
23700,0.455612
23701,0.455612
25452,0.510073
25453,0.510073
25454,0.510073
25455,0.510073
25456,0.510073
25457,0.510073
25458,0.510073
25459,0.510073
25460,0.510073
26432,0.561435
26433,0.561435
26434,0.561435
26435,0.561435
26436,0.561435
26437,0.561435
26462,0.64534
26463,0.64534
26464,0.64534
26465,0.64534
26466,0.64534
26467,0.64534
26468,0.64534
26469,0.64534
26470,0.64534
26471,0.64534
26472,0.64534
26473,0.64534
26474,0.64534
26475,0.64534
26476,0.64534
26477,0.64534
26478,0.64534
26479,0.64534
26480,0.64534
26481,0.64534
26482,0.64534
26483,0.64534
29165,0.426832
29166,0.426832
29167,0.426832
29168,0.426832
29169,0.426832
29170,0.426832
29171,0.426832
29172,0.426832
29173,0.426832
29174,0.426832
29255,0.634271
29256,0.634271
29257,0.634271
29258,0.634271
29259,0.634271
29260,0.634271
29261,0.634271
29262,0.634271
29630,0.340934
29631,0.340934
29632,0.340934
29633,0.340934
29634,0.340934
30666,0.713969
30667,0.713969
30668,0.713969
30669,0.713969
30670,0.713969
30671,0.713969
30672,0.713969
30673,0.713969
30674,0.713969
30675,0.713969
30769,0.564313
30770,0.564313
30771,0.564313
30772,0.564313
30773,0.564313
30774,0.564313
30775,0.564313
30776,0.564313
30784,0.598406
30785,0.598406
30786,0.598406
30787,0.598406
30788,0.598406
30789,0.598406
30790,0.598406
30791,0.598406
30792,0.598406
30831,0.560106
30832,0.560106
